id,name
linhafala_provincia_1,Maputo Cidade
linhafala_provincia_2,Gaza
linhafala_provincia_3,Inhambane
linhafala_provincia_4,Manica
linhafala_provincia_5,Sofala
linhafala_provincia_6,Tete
linhafala_provincia_7,Zambezia
linhafala_provincia_8,Nampula
linhafala_provincia_9,Niassa
linhafala_provincia_10,Cabo Delgado
linhafala_provincia_11,Maputo Provincia
