id,name,provincia
linhafala_distrito_141,Majune,Niassa
linhafala_distrito_142,Cidade De Inhambane,Inhambane
linhafala_distrito_143,Funhalouro,Inhambane
linhafala_distrito_144,Govuro,Inhambane
linhafala_distrito_145,Homoine,Inhambane
linhafala_distrito_146,Inharrime,Inhambane
linhafala_distrito_147,Inhassoro,Inhambane
linhafala_distrito_148,Jangamo,Inhambane
linhafala_distrito_149,Mabote,Inhambane
linhafala_distrito_150,Massinga,Inhambane
linhafala_distrito_151,Maxixe,Inhambane
linhafala_distrito_152,Morrumbene,Inhambane
linhafala_distrito_153,Panda,Inhambane
linhafala_distrito_154,Vilankulo,Inhambane
linhafala_distrito_155,Zavala,Inhambane
linhafala_distrito_156,Kampfumo,Maputo Cidade
linhafala_distrito_157,KaMaxakeni,Maputo Cidade
linhafala_distrito_158,Nlhamankulu,Maputo Cidade
linhafala_distrito_159,Kamavota,Maputo Cidade
linhafala_distrito_160,KaMubukwana,Maputo Cidade
linhafala_distrito_161,Katembe,Maputo Cidade
linhafala_distrito_162,Kanyaka,Maputo Cidade
linhafala_distrito_163,Mossurize,Manica
linhafala_distrito_164,Erati,Nampula
