id,name,active
linhafala_chamada_assistance_categoria_1,SRQ,1
linhafala_chamada_assistance_categoria_2,Problemas relacionados com escola,1
linhafala_chamada_assistance_categoria_3,Saúde Sexual e Reprodutiva,1
linhafala_chamada_assistance_categoria_4,Conflitos Armados,1
linhafala_chamada_assistance_categoria_5,Campanhas de Saúde,1
linhafala_chamada_assistance_categoria_6,Emergência/Mudanças Climáticas,1
linhafala_chamada_assistance_categoria_7,Outras Emergências,1
linhafala_chamada_assistance_categoria_8,Assistência Psico-social,1
linhafala_chamada_assistance_categoria_9,Informação sobre Covid-19,1
